// ********************************************
#	[   0]
	MinuteGenerate:	-1
	MaxNumMob:	100
	MinGroup:	4
	MaxGroup:	7
	Leader:		Ciclope_Forte
	Follower:	Ciclope_Forte
	RouteType:	2
	Formation:	0
	StartX:		2635
	StartY:		1726
	StartRange:	5
	StartWait:	10
	DestX:		2625
	DestY:		1726
	DestRange:	10
	DestWait:	10


// no000 �ݷμ���E - Coliseu N
// ********************************************
#	[   1]
	MinuteGenerate:	-1
	MaxNumMob:	100
	MinGroup:	3
	MaxGroup:	6
	Leader:		Ciclop_Selvagem
	Follower:	Arq_Ciclope
	RouteType:	2
	Formation:	0
	StartX:		2635
	StartY:		1726
	StartRange:	5
	StartWait:	9
	DestX:		2627
	DestY:		1726
	DestRange:	13
	DestWait:	10


// no000 �ݷμ���E - Coliseu N
// ********************************************
#	[   2]
	MinuteGenerate:	-1
	MaxNumMob:	100
	MinGroup:	2
	MaxGroup:	5
	Leader:		Ciclope_Wild
	Follower:	Mago_Ciclope
	RouteType:	2
	Formation:	0
	StartX:		2635
	StartY:		1726
	StartRange:	5
	StartWait:	9
	DestX:		2627
	DestY:		1726
	DestRange:	13
	DestWait:	10


// no0000 (����Ʈ�� ��������)
// ********************************************
#	[   3]
	MinuteGenerate:	1
	MaxNumMob:	0
	MinGroup:	0
	MaxGroup:	0
	Leader:		Orc_Guerreiro
	Follower:	Orc_Guerreiro
	RouteType:	2
	Formation:	0
	StartX:		2142
	StartY:		1947
	StartRange:	1
	StartWait:	9
	DestX:		2142
	DestY:		1947
	DestRange:	2
	DestWait:	8


// no0000 (��ĳ������)
// ********************************************
#	[   4]
	MinuteGenerate:	-1
	MaxNumMob:	2
	MinGroup:	0
	MaxGroup:	0
	Leader:		Zakum_Lord
	Follower:	Zakum_Lord
	RouteType:	2
	Formation:	0
	StartX:		2239
	StartY:		1186
	StartRange:	12
	StartWait:	9
	DestX:		2239
	DestY:		1186
	DestRange:	1
	DestWait:	10


// �ݷμ���E��
// ********************************************
#	[   5]
	MinuteGenerate:	-1
	MaxNumMob:	100
	MinGroup:	4
	MaxGroup:	7
	Leader:		Orc_Sniper_
	Follower:	Orc_Forte
	RouteType:	2
	Formation:	0
	StartX:		2635
	StartY:		1726
	StartRange:	5
	StartWait:	10
	DestX:		2625
	DestY:		1726
	DestRange:	10
	DestWait:	10


// �ݷμ���E��-2
// ********************************************
#	[   6]
	MinuteGenerate:	-1
	MaxNumMob:	100
	MinGroup:	3
	MaxGroup:	6
	Leader:		Orc_Selvagem
	Follower:	Orc_Mago
	RouteType:	2
	Formation:	0
	StartX:		2635
	StartY:		1726
	StartRange:	5
	StartWait:	9
	DestX:		2627
	DestY:		1726
	DestRange:	13
	DestWait:	10


// �ݷμ���E��-3
// ********************************************
#	[   7]
	MinuteGenerate:	-1
	MaxNumMob:	100
	MinGroup:	2
	MaxGroup:	5
	Leader:		Orc_Wild
	Follower:	Orc_Mago
	RouteType:	2
	Formation:	0
	StartX:		2635
	StartY:		1726
	StartRange:	5
	StartWait:	9
	DestX:		2627
	DestY:		1726
	DestRange:	13
	DestWait:	10


// no0000 (1312�ʵ�E
// ********************************************
#	[   8]
	MinuteGenerate:	3
	MaxNumMob:	1
	MinGroup:	0
	MaxGroup:	0
	Leader:		Rei_Harabard
	Follower:	Rei_Harabard
	RouteType:	2
	Formation:	0
	StartX:		1750
	StartY:		1574
	StartRange:	0
	StartWait:	9
	Segment1X:	1750
	Segment1Y:	1574
	Segment1Wait:	8
	Segment2X:	1750
	Segment2Y:	1574
	Segment2Wait:	8
	DestX:		1750
	DestY:		1574
	DestRange:	1
	DestWait:	10


// no0000 (1314�ʵ�E
// ********************************************
#	[   9]
	MinuteGenerate:	3
	MaxNumMob:	1
	MinGroup:	0
	MaxGroup:	0
	Leader:		Rei_Glantuar
	Follower:	Rei_Glantuar
	RouteType:	2
	Formation:	0
	StartX:		1750
	StartY:		1880
	StartRange:	0
	StartWait:	9
	Segment1X:	1750
	Segment1Y:	1880
	Segment1Wait:	8
	Segment2X:	1750
	Segment2Y:	1880
	Segment2Wait:	8
	DestX:		1750
	DestY:		1880
	DestRange:	1
	DestWait:	10


// Pergaminho M (Sala 1)
// ********************************************
#	[  10]
	MinuteGenerate:	-1
	MaxNumMob:	24
	MinGroup:	12
	MaxGroup:	12
	Leader:		Elfo_Negro_
	Follower:	Elfo_Negro_
	RouteType:	2
	Formation:	0
	StartX:		1250
	StartY:		3680
	StartRange:	0
	StartWait:	9
	Segment1X:	1250
	Segment1Y:	3680
	Segment1Range:	2
	Segment1Wait:	8
	Segment2X:	1250
	Segment2Y:	3680
	Segment2Range:	2
	Segment2Wait:	8
	DestX:		1250
	DestY:		3680
	DestRange:	2
	DestWait:	10


// Pergaminho M (Sala 2)
// ********************************************
#	[  11]
	MinuteGenerate:	-1
	MaxNumMob:	38
	MinGroup:	19
	MaxGroup:	19
	Leader:		Troll_Ghoul_
	Follower:	Troll_Ghoul_
	RouteType:	2
	Formation:	0
	StartX:		1214
	StartY:		3680
	StartRange:	0
	StartWait:	9
	Segment1X:	1214
	Segment1Y:	3680
	Segment1Range:	2
	Segment1Wait:	8
	Segment2X:	1214
	Segment2Y:	3680
	Segment2Range:	2
	Segment2Wait:	8
	DestX:		1214
	DestY:		3680
	DestRange:	2
	DestWait:	10


// Pergaminho M (Sala 3)
// ********************************************
#	[  12]
	MinuteGenerate:	-1
	MaxNumMob:	24
	MinGroup:	12
	MaxGroup:	12
	Leader:		Anf_Ninja_
	Follower:	Anf_Ninja_
	RouteType:	2
	Formation:	0
	StartX:		1178
	StartY:		3680
	StartRange:	0
	StartWait:	9
	Segment1X:	1178
	Segment1Y:	3680
	Segment1Range:	2
	Segment1Wait:	8
	Segment2X:	1178
	Segment2Y:	3680
	Segment2Range:	2
	Segment2Wait:	8
	DestX:		1178
	DestY:		3680
	DestRange:	2
	DestWait:	10


// Pergaminho M (Sala 4)
// ********************************************
#	[  13]
	MinuteGenerate:	-1
	MaxNumMob:	24
	MinGroup:	12
	MaxGroup:	12
	Leader:		Imp_
	Follower:	Imp_
	RouteType:	2
	Formation:	0
	StartX:		1178
	StartY:		3644
	StartRange:	0
	StartWait:	9
	Segment1X:	1178
	Segment1Y:	3644
	Segment1Range:	2
